method,seed,task_id,model_family,axis,total_n,valid_primary_n,prompt_n,prompt_set_sha256
baseline,1,bad_medical_advice,llama31_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
baseline,1,bad_medical_advice,llama31_8b,unintended_generalization,560,550,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_first,1,bad_medical_advice,llama31_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_first,1,bad_medical_advice,llama31_8b,unintended_generalization,560,540,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_last,1,bad_medical_advice,llama31_8b,capability,200,199,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_last,1,bad_medical_advice,llama31_8b,unintended_generalization,560,537,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_second,1,bad_medical_advice,llama31_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_second,1,bad_medical_advice,llama31_8b,unintended_generalization,560,552,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
ip,1,bad_medical_advice,llama31_8b,capability,200,195,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
ip,1,bad_medical_advice,llama31_8b,unintended_generalization,560,547,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
kld,1,bad_medical_advice,llama31_8b,capability,200,197,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
kld,1,bad_medical_advice,llama31_8b,unintended_generalization,560,504,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
baseline,1,bad_medical_advice,olmo3_7b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
baseline,1,bad_medical_advice,olmo3_7b,unintended_generalization,560,545,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_first,1,bad_medical_advice,olmo3_7b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_first,1,bad_medical_advice,olmo3_7b,unintended_generalization,560,541,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_last,1,bad_medical_advice,olmo3_7b,capability,200,199,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_last,1,bad_medical_advice,olmo3_7b,unintended_generalization,560,546,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_second,1,bad_medical_advice,olmo3_7b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_second,1,bad_medical_advice,olmo3_7b,unintended_generalization,560,550,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
ip,1,bad_medical_advice,olmo3_7b,capability,200,199,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
ip,1,bad_medical_advice,olmo3_7b,unintended_generalization,560,540,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
kld,1,bad_medical_advice,olmo3_7b,capability,200,198,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
kld,1,bad_medical_advice,olmo3_7b,unintended_generalization,560,542,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
baseline,1,bad_medical_advice,qwen3_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
baseline,1,bad_medical_advice,qwen3_8b,unintended_generalization,560,548,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_first,1,bad_medical_advice,qwen3_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
